Timestamp,SourceIP,DestinationIP,PacketSize,Protocol
2023-11-06 00:09:56,192.168.1.13,203.0.113.53,185,UDP
2023-11-25 12:10:13,192.168.1.252,203.0.113.166,794,ICMP
2023-11-13 18:52:35,192.168.1.147,203.0.113.140,280,UDP
2023-11-01 03:00:34,192.168.1.229,203.0.113.156,941,ICMP
2023-11-11 03:27:27,192.168.1.242,203.0.113.70,351,UDP
2023-11-10 09:35:54,192.168.1.173,203.0.113.23,410,TCP
2023-11-05 11:50:06,192.168.1.77,203.0.113.98,537,ICMP
2023-11-26 16:51:49,192.168.1.188,203.0.113.144,1382,UDP
2023-11-17 03:56:22,192.168.1.113,203.0.113.17,679,ICMP
2023-11-17 22:28:59,192.168.1.101,203.0.113.176,375,ICMP
2023-11-03 02:30:53,192.168.1.122,203.0.113.225,151,TCP
2023-11-16 10:19:12,192.168.1.185,203.0.113.238,447,UDP
2023-11-15 06:36:47,192.168.1.229,203.0.113.43,1251,UDP
2023-11-04 11:10:00,192.168.1.5,203.0.113.175,165,TCP
2023-11-27 10:32:44,192.168.1.14,203.0.113.213,277,TCP
2023-11-14 11:45:41,192.168.1.251,203.0.113.197,932,UDP
2023-11-24 12:41:32,192.168.1.249,203.0.113.90,926,UDP
2023-11-20 21:25:21,192.168.1.243,203.0.113.178,552,TCP
2023-11-29 13:26:14,192.168.1.236,203.0.113.130,253,UDP
2023-11-16 15:11:17,192.168.1.101,203.0.113.97,859,UDP
2023-11-10 19:23:00,192.168.1.250,203.0.113.19,798,ICMP
2023-11-20 04:55:32,192.168.1.175,203.0.113.2,582,UDP
2023-11-21 22:05:36,192.168.1.249,203.0.113.211,952,ICMP
2023-11-24 17:34:37,192.168.1.66,203.0.113.166,1456,TCP
2023-11-07 03:51:23,192.168.1.201,203.0.113.164,1479,TCP
2023-11-07 16:41:12,192.168.1.233,203.0.113.172,304,UDP
2023-11-10 17:22:53,192.168.1.90,203.0.113.108,780,UDP
2023-11-26 08:38:22,192.168.1.249,203.0.113.41,512,UDP
2023-11-03 16:31:35,192.168.1.238,203.0.113.96,501,UDP
2023-11-16 08:53:47,192.168.1.197,203.0.113.189,253,TCP
2023-11-05 08:26:11,192.168.1.167,203.0.113.80,469,ICMP
2023-11-11 12:06:35,192.168.1.208,203.0.113.188,929,UDP
2023-11-29 15:56:37,192.168.1.111,203.0.113.20,1085,TCP
2023-11-29 11:24:34,192.168.1.141,203.0.113.34,728,TCP
2023-11-04 16:00:00,192.168.1.106,203.0.113.23,978,ICMP
2023-11-07 06:19:56,192.168.1.175,203.0.113.145,1394,UDP
2023-11-19 18:19:05,192.168.1.197,203.0.113.28,431,ICMP
2023-11-12 13:43:13,192.168.1.155,203.0.113.24,1337,TCP
2023-11-06 13:04:03,192.168.1.194,203.0.113.212,1105,TCP
2023-11-15 21:58:49,192.168.1.218,203.0.113.81,400,UDP
2023-11-12 09:13:10,192.168.1.4,203.0.113.220,1441,UDP
2023-11-23 05:27:33,192.168.1.142,203.0.113.10,119,ICMP
2023-11-01 09:48:19,192.168.1.32,203.0.113.144,658,TCP
2023-11-16 15:19:40,192.168.1.139,203.0.113.111,86,ICMP
2023-11-14 01:02:15,192.168.1.240,203.0.113.146,412,UDP
2023-11-13 19:43:06,192.168.1.69,203.0.113.188,686,TCP
2023-11-19 15:06:30,192.168.1.222,203.0.113.135,675,ICMP
2023-11-23 12:46:39,192.168.1.154,203.0.113.49,454,ICMP
2023-11-19 04:30:02,192.168.1.46,203.0.113.165,313,ICMP
2023-11-12 22:00:37,192.168.1.6,203.0.113.100,1308,ICMP
