Timestamp,Source IP,Destination IP,Event Type,Description
2023-10-07 17:57:59.279,192.168.100.10,10.0.173.77,IDS Alert,Sample log description
2023-09-15 17:57:59.279,192.168.53.118,10.0.236.67,Firewall Log,Sample log description
2023-10-03 17:57:59.279,192.168.124.244,10.0.145.82,IDS Alert,Sample log description
2023-09-19 17:57:59.279,192.168.18.131,10.0.210.171,IDS Alert,Sample log description
2023-09-13 17:57:59.279,192.168.159.83,10.0.57.183,Firewall Log,Sample log description
2023-09-22 17:57:59.279,192.168.84.48,10.0.59.73,Access Denied,Sample log description
2023-10-02 17:57:59.279,192.168.248.133,10.0.248.49,Firewall Log,Sample log description
2023-09-15 17:57:59.279,192.168.147.221,10.0.159.158,Firewall Log,Sample log description
2023-09-24 17:57:59.279,192.168.240.92,10.0.196.237,Firewall Log,Sample log description
2023-10-10 17:57:59.279,192.168.2.219,10.0.227.207,Firewall Log,Sample log description
2023-09-23 17:57:59.279,192.168.248.86,10.0.34.3,IDS Alert,Sample log description
2023-10-01 17:57:59.279,192.168.82.248,10.0.74.185,IDS Alert,Sample log description
2023-09-14 17:57:59.279,192.168.249.153,10.0.93.240,IDS Alert,Sample log description
2023-10-07 17:57:59.279,192.168.76.220,10.0.184.143,Firewall Log,Sample log description
2023-09-27 17:57:59.279,192.168.114.102,10.0.211.217,Access Denied,Sample log description
2023-09-27 17:57:59.279,192.168.131.140,10.0.180.163,Access Denied,Sample log description
2023-09-26 17:57:59.279,192.168.75.79,10.0.24.18,Access Denied,Sample log description
2023-10-10 17:57:59.279,192.168.220.108,10.0.253.31,Firewall Log,Sample log description
2023-10-04 17:57:59.279,192.168.125.255,10.0.170.251,Firewall Log,Sample log description
2023-10-08 17:57:59.279,192.168.88.2,10.0.123.166,IDS Alert,Sample log description
2023-09-13 17:57:59.279,192.168.147.52,10.0.194.182,IDS Alert,Sample log description
2023-09-18 17:57:59.279,192.168.104.250,10.0.22.135,Access Denied,Sample log description
2023-10-06 17:57:59.279,192.168.235.30,10.0.151.9,Access Denied,Sample log description
2023-10-11 17:57:59.279,192.168.255.168,10.0.93.130,IDS Alert,Sample log description
2023-09-28 17:57:59.279,192.168.165.33,10.0.17.158,Access Denied,Sample log description
2023-09-20 17:57:59.279,192.168.107.187,10.0.76.60,Firewall Log,Sample log description
2023-10-05 17:57:59.279,192.168.93.252,10.0.72.167,Access Denied,Sample log description
2023-09-23 17:57:59.279,192.168.139.167,10.0.128.34,Firewall Log,Sample log description
2023-10-08 17:57:59.279,192.168.141.125,10.0.161.59,Firewall Log,Sample log description
2023-09-29 17:57:59.279,192.168.66.19,10.0.62.1,Access Denied,Sample log description
2023-09-19 17:57:59.279,192.168.26.60,10.0.124.86,Firewall Log,Sample log description
2023-09-17 17:57:59.279,192.168.116.42,10.0.152.126,Access Denied,Sample log description
2023-10-11 17:57:59.279,192.168.48.56,10.0.254.43,Access Denied,Sample log description
2023-09-29 17:57:59.279,192.168.23.59,10.0.114.136,IDS Alert,Sample log description
2023-09-22 17:57:59.279,192.168.120.80,10.0.23.182,Firewall Log,Sample log description
