Timestamp,Username,AuthenticationMethod,Status
2023-11-24 17:49:23,User1,Password,Failure
2023-11-25 05:09:57,User3,Password,Failure
2023-11-03 22:46:35,User7,Password,Success
2023-11-28 11:51:09,User1,Two-Factor,Success
2023-11-03 03:53:06,User4,Two-Factor,Failure
2023-11-18 00:59:29,User7,Two-Factor,Success
2023-11-15 06:37:52,User6,SSH Key,Failure
2023-11-14 16:39:10,User10,Two-Factor,Success
2023-11-14 14:38:02,User1,Two-Factor,Success
2023-11-11 03:40:49,User8,Two-Factor,Success
2023-11-10 10:23:51,User7,Two-Factor,Failure
2023-11-26 05:36:24,User2,Password,Failure
2023-11-10 04:07:44,User6,SSH Key,Success
2023-11-23 11:31:56,User3,SSH Key,Failure
2023-11-10 23:28:09,User5,SSH Key,Success
2023-11-16 09:20:49,User8,Password,Failure
2023-11-09 01:54:34,User10,Two-Factor,Success
2023-11-24 08:12:04,User9,Password,Success
2023-11-29 03:05:54,User4,Password,Success
2023-11-24 23:46:36,User1,SSH Key,Success
2023-11-10 14:00:41,User10,Two-Factor,Success
2023-11-18 17:14:46,User1,Two-Factor,Success
2023-11-28 13:18:18,User8,Password,Success
2023-11-09 16:35:18,User4,SSH Key,Success
2023-11-19 17:53:43,User9,SSH Key,Failure
2023-11-05 09:39:11,User8,Password,Failure
2023-11-05 12:13:10,User5,SSH Key,Failure
2023-11-22 02:54:49,User10,Two-Factor,Success
2023-11-17 11:17:45,User8,Password,Success
2023-11-07 11:26:42,User4,Two-Factor,Failure
2023-11-17 15:08:12,User10,Two-Factor,Failure
2023-11-22 23:50:11,User1,Password,Failure
2023-11-23 04:17:46,User1,SSH Key,Failure
2023-11-25 07:29:40,User4,SSH Key,Failure
2023-11-21 16:14:40,User1,Two-Factor,Success
2023-11-22 11:34:13,User1,Password,Success
2023-11-26 21:41:57,User9,SSH Key,Success
2023-11-22 18:21:25,User5,Password,Failure
2023-11-24 03:53:54,User8,Password,Success
2023-11-22 05:26:52,User6,Password,Success
2023-11-27 20:21:11,User1,SSH Key,Failure
2023-11-24 03:32:46,User6,Password,Failure
2023-11-10 22:04:39,User5,Password,Failure
2023-11-29 23:01:45,User9,Password,Success
2023-11-01 12:18:56,User3,SSH Key,Success
2023-11-26 03:28:57,User8,Password,Failure
2023-11-11 22:05:14,User10,Password,Success
2023-11-27 07:36:46,User6,SSH Key,Success
2023-11-11 18:46:48,User6,SSH Key,Failure
2023-11-10 09:39:43,User6,Password,Failure
